Date,ADBE,ADSK,ANSS,CRM,CRWD,DDOG,INTU,MDB,MSFT,NOW,ORCL,PANW,SAP,SHOP,SNOW,TEAM
2021-08-31,663.7000122070312,310.0899963378906,,262.5086364746094,281.0,137.8000030517578,551.945068359375,391.8299865722656,292.1062316894531,,84.26998901367188,76.83999633789062,140.4240264892578,152.47799682617188,304.3500061035156,367.05999755859375
2021-09-01,665.8900146484375,303.239990234375,,265.5268859863281,269.9700012207031,135.77000427246094,549.0396118164062,393.42999267578125,292.0577697753906,,85.04528045654297,76.71666717529297,140.39596557617188,153.9029998779297,301.0199890136719,371.70001220703125
2021-09-02,664.6400146484375,287.4700012207031,,261.4002380371094,272.6700134277344,137.08999633789062,545.7833251953125,401.6499938964844,291.3997802734375,,84.90345001220703,77.09166717529297,139.33908081054688,154.25999450683594,306.8900146484375,376.0
2021-09-03,666.5900268554688,288.75,,264.2997741699219,278.2300109863281,138.05999755859375,549.1568603515625,507.4100036621094,291.39019775390625,,85.09254455566406,78.03666687011719,140.1340789794922,155.4250030517578,310.0,384.5899963378906
2021-09-07,661.3900146484375,287.4599914550781,,262.44921875,269.67999267578125,137.36000061035156,546.4463500976562,489.75,290.46124267578125,,83.88233947753906,77.1066665649414,139.93768310546875,153.6699981689453,312.489990234375,381.69000244140625
2021-09-08,663.219970703125,289.55999755859375,,259.8861999511719,265.2300109863281,139.57000732421875,553.3881225585938,471.739990234375,290.490234375,,84.59142303466797,77.62166595458984,137.23468017578125,147.781005859375,318.1000061035156,381.75
2021-09-09,661.6799926757812,287.67999267578125,,258.0257873535156,265.1600036621094,140.89999389648438,553.5441284179688,474.92999267578125,287.6261291503906,,84.65762329101562,77.75,136.25262451171875,150.4080047607422,319.9700012207031,378.8399963378906
2021-09-10,658.9400024414062,284.42999267578125,,254.52264404296875,262.0,137.14999389648438,553.1834106445312,488.79998779296875,286.13592529296875,,84.79000091552734,78.31666564941406,135.68211364746094,148.41000366210938,318.5400085449219,379.9700012207031
2021-09-13,645.1500244140625,281.2799987792969,,251.46481323242188,254.02999877929688,135.22999572753906,543.47265625,485.0,287.37451171875,,84.0430679321289,79.35333251953125,135.8691864013672,147.68699645996094,318.45001220703125,376.7099914550781
2021-09-14,645.010009765625,279.3500061035156,,251.72207641601562,257.29998779296875,138.1199951171875,554.0512084960938,505.2099914550781,290.08392333984375,,81.67937469482422,80.80500030517578,135.75692749023438,145.1280059814453,319.25,389.3900146484375
2021-09-15,661.0800170898438,286.6199951171875,,253.4934844970703,259.57000732421875,139.11000061035156,557.7950439453125,503.5,294.9510192871094,,82.94630432128906,79.98999786376953,134.91517639160156,147.49400329589844,324.0799865722656,394.5299987792969
2021-09-16,665.1099853515625,290.67999267578125,,257.64971923828125,264.739990234375,144.13999938964844,558.5457763671875,509.6499938964844,295.3381042480469,,82.49249267578125,80.8133316040039,135.4857177734375,147.5970001220703,323.5199890136719,403.9100036621094
2021-09-17,654.47998046875,288.1499938964844,,257.8179626464844,263.0899963378906,143.1300048828125,547.7918090820312,506.989990234375,290.1612854003906,,81.67937469482422,79.3949966430664,134.04537963867188,148.62899780273438,322.79998779296875,404.6000061035156
2021-09-20,641.2899780273438,283.6000061035156,,255.5320281982422,257.55999755859375,142.25,540.5284423828125,489.2699890136719,284.77154541015625,,81.47138214111328,79.06500244140625,130.16392517089844,143.4530029296875,310.07000732421875,400.5899963378906
2021-09-21,645.8900146484375,283.19000244140625,,255.2845916748047,254.11000061035156,145.3800048828125,541.35693359375,488.6400146484375,285.2554626464844,,82.18048858642578,78.83833312988281,132.65179443359375,143.71499633789062,314.2699890136719,405.9800109863281
2021-09-22,626.0800170898438,286.4200134277344,,256.4721374511719,259.8599853515625,148.69000244140625,548.7178955078125,510.67999267578125,288.91302490234375,,83.61760711669922,79.32833099365234,132.6143798828125,146.58999633789062,315.1099853515625,406.3999938964844
2021-09-23,630.8400268554688,292.1600036621094,,274.9675598144531,262.2900085449219,147.5,562.9234619140625,514.0599975585938,289.8613586425781,,84.54415130615234,80.5250015258789,135.50442504882812,147.66000366210938,321.5,409.6000061035156
2021-09-24,622.7100219726562,294.6700134277344,,282.65673828125,261.75,147.32000732421875,563.4597778320312,508.0400085449219,289.6581115722656,,85.03580474853516,81.74500274658203,133.36260986328125,144.39999389648438,316.4700012207031,413.94000244140625
2021-09-27,603.6500244140625,294.05999755859375,,276.7686462402344,253.33999633789062,142.0,552.8226318359375,483.0400085449219,284.6458740234375,,86.07583618164062,81.00666809082031,133.2784423828125,144.38099670410156,311.20001220703125,391.8900146484375
2021-09-28,578.77001953125,287.8500061035156,,269.44561767578125,241.86000061035156,137.39999389648438,531.3731689453125,463.57000732421875,274.340576171875,,85.55582427978516,79.39167022705078,128.66746520996094,136.93099975585938,298.0,381.5799865722656
2021-09-29,577.7000122070312,287.989990234375,,267.6842041015625,239.57000732421875,138.13999938964844,533.2451171875,458.489990234375,274.8050231933594,,86.2743911743164,78.84500122070312,127.51705169677734,134.65499877929688,293.79998779296875,387.6000061035156
2021-09-30,575.719970703125,285.1700134277344,,268.3966979980469,245.77999877929688,141.35000610351562,526.0107421875,471.510009765625,272.79248046875,,82.37902069091797,79.83333587646484,126.30118560791016,135.5780029296875,302.42999267578125,391.4200134277344
2021-10-01,577.469970703125,284.05999755859375,,272.3946533203125,249.27000427246094,144.69000244140625,530.3590698242188,474.510009765625,279.739990234375,,84.84671783447266,81.08499908447266,127.15230560302734,135.0760040283203,303.7200012207031,392.2200012207031
